Bacillus,Pathogene,Modele,Score
_11285,E.ce,I,0.913489449
_11285,E.ce,I,0.984517149
_11285,E.ce,I,0.992624371
_12048,E.ce,I,0.951883111
_12048,E.ce,I,0.982054715
_12048,E.ce,I,0.991767815
_B8,E.ce,I,0.955964078
_B8,E.ce,I,0.98038748
_B8,E.ce,I,0.992372415
_12701,E.ce,I,0.6237963
_12701,E.ce,I,0.717105704
_12701,E.ce,I,0.716313525
_11457,E.ce,I,0.848429728
_11457,E.ce,I,0.783745156
_11457,E.ce,I,0.786601123
_B18,E.ce,I,0.612782392
_B18,E.ce,I,0.692536962
_B18,E.ce,I,0.654503033
_B1,E.ce,I,0.425093847
_B1,E.ce,I,0.668375876
_B1,E.ce,I,0.629559491
_12832,E.ce,I,0.722250905
_12832,E.ce,I,0.671873123
_12832,E.ce,I,0.582727516
_1273,E.ce,I,0.629977344
_1273,E.ce,I,0.58704173
_1273,E.ce,I,0.580272842
_12001,E.ce,I,0.79475732
_12001,E.ce,I,0.770548825
_12001,E.ce,I,0.778161671
_1202,E.ce,I,0.149063551
_1202,E.ce,I,0.596500965
_1202,E.ce,I,0.612621901
_1234,E.ce,I,0.699926149
_1234,E.ce,I,0.58704173
_1234,E.ce,I,0.566215034
_C5,E.ce,I,0.61741846
_C5,E.ce,I,0.513424347
_C5,E.ce,I,0.647493586
_1218,E.ce,I,0.409030031
_1218,E.ce,I,0.625758393
_1218,E.ce,I,0.714031272
_1298,E.ce,I,0.361491941
_1298,E.ce,I,0.43979194
_1298,E.ce,I,0.568348235
_1219,E.ce,I,0.217034613
_1219,E.ce,I,0.269192824
_1219,E.ce,I,0.561884052
_1167,E.ce,I,0.471144382
_1167,E.ce,I,0.728316224
_1167,E.ce,I,0.719851859
_1339,E.ce,I,0.167776598
_1339,E.ce,I,0.580481745
_1339,E.ce,I,0.586662326
_11285,S.en,I,0.292114551
_11285,S.en,I,0.30351804
_11285,S.en,I,0.502661166
_12048,S.en,I,0.307695246
_12048,S.en,I,0.052037063
_12048,S.en,I,0.353352521
_B8,S.en,I,0.370630273
_B8,S.en,I,0
_B8,S.en,I,0.406558157
_12701,S.en,I,0.608648398
_12701,S.en,I,0.344344087
_12701,S.en,I,0.498068106
_11457,S.en,I,0.394264088
_11457,S.en,I,0.209883064
_11457,S.en,I,0.598381555
_B18,S.en,I,0.416175948
_B18,S.en,I,0.253364625
_B18,S.en,I,0.4818378
_B1,S.en,I,0.365059739
_B1,S.en,I,0.318699309
_B1,S.en,I,0.45865587
_12832,S.en,I,0.282108224
_12832,S.en,I,0.19281484
_12832,S.en,I,0.472061305
_1273,S.en,I,0.508598622
_1273,S.en,I,0.455658836
_1273,S.en,I,0.445328861
_12001,S.en,I,0.456190065
_12001,S.en,I,0.115956426
_12001,S.en,I,0.429554493
_1202,S.en,I,0.305393257
_1202,S.en,I,0.062837833
_1202,S.en,I,0.369686417
_1234,S.en,I,0.514244786
_1234,S.en,I,0.272777208
_1234,S.en,I,0.585912243
_C5,S.en,I,0.499600142
_C5,S.en,I,0.329490368
_C5,S.en,I,0.632211876
_1218,S.en,I,0.393248746
_1218,S.en,I,0.052139415
_1218,S.en,I,0.261054552
_1298,S.en,I,0.527963925
_1298,S.en,I,0.449455169
_1298,S.en,I,0.319170661
_1219,S.en,I,0.567097559
_1219,S.en,I,0.201229705
_1219,S.en,I,0.511699286
_1167,S.en,I,0.729653972
_1167,S.en,I,0.326544495
_1167,S.en,I,0.532976759
_1339,S.en,I,0.496779683
_1339,S.en,I,0.348920347
_1339,S.en,I,0.447626987
_11285,E.co,I,0.323109364
_11285,E.co,I,0.395120694
_11285,E.co,I,0.402264335
_12048,E.co,I,0.384972085
_12048,E.co,I,0.369226696
_12048,E.co,I,0.381935338
_B8,E.co,I,0.369889451
_B8,E.co,I,0.401346859
_B8,E.co,I,0.399046287
_12701,E.co,I,0.387085996
_12701,E.co,I,0.459422644
_12701,E.co,I,0.414868752
_11457,E.co,I,0.40687344
_11457,E.co,I,0.482322969
_11457,E.co,I,0.375870032
_B18,E.co,I,0.345479479
_B18,E.co,I,0.426598214
_B18,E.co,I,0.378356835
_B1,E.co,I,0.396170256
_B1,E.co,I,0.398347377
_B1,E.co,I,0.400979125
_12832,E.co,I,0.364359712
_12832,E.co,I,0.488962263
_12832,E.co,I,0.404953855
_1273,E.co,I,0.386056194
_1273,E.co,I,0.444150414
_1273,E.co,I,0.36530147
_12001,E.co,I,0.482965577
_12001,E.co,I,0.407373665
_12001,E.co,I,0.415915964
_1202,E.co,I,0.432393954
_1202,E.co,I,0.411680726
_1202,E.co,I,0.41671517
_1234,E.co,I,0.420295009
_1234,E.co,I,0.474425196
_1234,E.co,I,0.375333831
_C5,E.co,I,0.416023588
_C5,E.co,I,0.628964794
